Platform,PWM Type,Decoder Type,Filter Type,PWM Location,Encoder Location,Image Processing Location,Control Loop Location,Feasibility Score
DE10-Avalon,Edge PWM,LUT Decoder,YUV,CPU,FPGA,FPGA,CPU,139.0
DE10-Avalon,Edge PWM,LUT Decoder,YUV,CPU,FPGA,FPGA,FPGA,134.0
DE10-Avalon,Edge PWM,LUT Decoder,YUV,FPGA,CPU,CPU,CPU,145.0
DE10-Avalon,Edge PWM,LUT Decoder,YUV,FPGA,CPU,CPU,FPGA,140.0
DE10-Avalon,Edge PWM,LUT Decoder,YUV,FPGA,CPU,FPGA,CPU,139.0
DE10-Avalon,Edge PWM,LUT Decoder,YUV,FPGA,CPU,FPGA,FPGA,134.0
DE10-Avalon,Edge PWM,LUT Decoder,YUV,FPGA,FPGA,CPU,CPU,158.0
DE10-Avalon,Edge PWM,LUT Decoder,YUV,FPGA,FPGA,CPU,FPGA,153.0
DE10-Avalon,Edge PWM,LUT Decoder,YUV,FPGA,FPGA,FPGA,CPU,152.0
DE10-Avalon,Edge PWM,LUT Decoder,YUV,FPGA,FPGA,FPGA,FPGA,147.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,CPU,CPU,CPU,CPU,127.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,CPU,CPU,CPU,FPGA,122.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,CPU,CPU,FPGA,CPU,121.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,CPU,CPU,FPGA,FPGA,116.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,CPU,FPGA,CPU,CPU,140.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,CPU,FPGA,CPU,FPGA,135.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,CPU,FPGA,FPGA,CPU,134.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,CPU,FPGA,FPGA,FPGA,129.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,FPGA,CPU,CPU,CPU,140.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,FPGA,CPU,CPU,FPGA,135.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,FPGA,CPU,FPGA,CPU,134.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,FPGA,CPU,FPGA,FPGA,129.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,FPGA,FPGA,CPU,CPU,153.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,FPGA,FPGA,CPU,FPGA,148.0
DE10-Avalon,Center PWM,Edge Decoder,HSV,FPGA,FPGA,FPGA,CPU,147.0
