index,start_ms,end_ms,duration_ms
176,7552188.210,7552198.097,9.887
177,7552198.097,7552208.018,9.921
178,7552208.018,7552217.907,9.888
179,7552217.907,7552227.766,9.859
180,7552227.767,7552237.631,9.864
181,7552237.632,7552247.538,9.907
182,7552247.539,7552257.418,9.879
183,7552257.418,7552267.264,9.846
184,7552267.264,7552277.137,9.872
185,7552277.137,7552287.030,9.893
186,7552287.030,7552296.918,9.888
187,7552296.919,7552306.768,9.849
188,7552306.768,7552316.629,9.861
189,7552316.629,7552326.529,9.900
190,7552326.530,7552336.422,9.892
191,7552336.422,7552346.266,9.844
192,7552346.266,7552356.116,9.850
193,7552356.117,7552366.023,9.906
194,7552366.023,7552375.917,9.894
195,7552375.917,7552385.767,9.850
196,7552385.767,7552395.618,9.851
197,7552395.618,7552405.513,9.895
198,7552405.514,7552415.409,9.895
199,7552415.409,7552425.256,9.847
200,7552425.256,7552435.104,9.848
201,7552435.105,7552444.992,9.887
202,7552444.992,7552454.904,9.912
203,7552454.904,7552464.749,9.845
204,7552464.749,7552474.601,9.852
205,7552474.602,7552484.487,9.885
206,7552484.487,7552494.385,9.898
207,7552494.385,7552504.237,9.852
208,7552504.237,7552514.110,9.872
209,7552514.110,7552523.981,9.871
210,7552523.981,7552533.904,9.923
211,7552533.904,7552543.759,9.854
212,7552543.759,7552553.611,9.852
213,7552553.611,7552563.520,9.909
214,7552563.521,7552573.492,9.972
215,7552573.493,7552583.359,9.867
216,7552583.359,7552593.216,9.856
217,7552593.216,7552603.124,9.908
218,7552603.125,7552613.086,9.960
219,7552613.086,7552622.958,9.872
220,7552622.958,7552632.810,9.853
221,7552632.812,7552642.697,9.885
222,7552642.698,7552652.623,9.926
223,7552652.624,7552662.490,9.866
224,7552662.490,7552672.342,9.852
225,7552672.343,7552682.226,9.884
226,7552682.227,7552692.110,9.883
227,7552692.110,7552702.023,9.912
228,7552702.023,7552711.937,9.914
229,7552711.937,7552721.845,9.908
230,7552721.846,7552731.739,9.893
231,7552731.740,7552741.626,9.886
232,7552741.626,7552751.477,9.851
233,7552751.477,7552761.341,9.864
234,7552761.342,7552771.245,9.903
235,7552771.245,7552781.128,9.883
236,7552781.129,7552790.973,9.844
237,7552790.973,7552800.877,9.904
238,7552800.877,7552810.775,9.898
