index,start_ms,end_ms,duration_ms
176,7539846.552,7539886.568,40.016
177,7539886.568,7539926.581,40.013
178,7539926.582,7539966.575,39.993
179,7539966.575,7540006.553,39.978
180,7540006.554,7540046.603,40.049
181,7540046.603,7540086.657,40.054
182,7540086.657,7540126.572,39.915
183,7540126.573,7540166.646,40.073
184,7540166.646,7540206.743,40.097
185,7540206.744,7540246.700,39.956
186,7540246.700,7540286.637,39.936
187,7540286.637,7540326.612,39.975
188,7540326.613,7540366.660,40.047
189,7540366.661,7540406.665,40.004
190,7540406.665,7540446.632,39.966
191,7540446.632,7540486.684,40.052
192,7540486.685,7540526.686,40.001
193,7540526.687,7540566.701,40.014
194,7540566.701,7540606.760,40.059
195,7540606.760,7540646.770,40.009
196,7540646.770,7540686.688,39.918
197,7540686.689,7540726.776,40.088
198,7540726.776,7540766.704,39.928
199,7540766.704,7540806.691,39.987
200,7540806.691,7540847.305,40.614
201,7540847.306,7540887.369,40.064
202,7540887.370,7540926.696,39.326
203,7540926.697,7540967.682,40.986
204,7540967.683,7541006.769,39.086
205,7541006.769,7541046.749,39.980
206,7541046.750,7541086.774,40.025
207,7541086.775,7541126.851,40.076
208,7541126.852,7541167.539,40.687
209,7541167.539,7541206.758,39.219
210,7541206.758,7541246.812,40.054
211,7541246.813,7541286.771,39.958
212,7541286.771,7541326.804,40.033
213,7541326.805,7541366.812,40.007
214,7541366.812,7541406.765,39.953
215,7541406.765,7541446.804,40.038
216,7541446.804,7541486.865,40.061
217,7541486.865,7541526.857,39.992
218,7541526.858,7541566.801,39.943
219,7541566.801,7541606.893,40.092
220,7541606.894,7541646.926,40.032
221,7541646.926,7541686.991,40.065
222,7541686.991,7541726.815,39.823
223,7541726.815,7541766.996,40.181
224,7541766.996,7541806.960,39.964
225,7541806.961,7541846.896,39.935
226,7541846.897,7541886.947,40.051
227,7541886.948,7541926.959,40.011
228,7541926.959,7541966.976,40.017
229,7541966.976,7542006.901,39.924
230,7542006.901,7542047.027,40.126
231,7542047.028,7542086.943,39.915
232,7542086.943,7542126.924,39.980
233,7542126.924,7542166.951,40.027
234,7542166.951,7542207.043,40.092
235,7542207.044,7542247.071,40.027
236,7542247.071,7542288.540,41.469
237,7542288.540,7542327.085,38.544
238,7542327.085,7542366.940,39.855
239,7542366.940,7542407.504,40.564
240,7542407.504,7542447.459,39.955
241,7542447.459,7542486.997,39.538
242,7542486.997,7542526.935,39.937
243,7542526.935,7542567.063,40.129
244,7542567.064,7542607.050,39.986
245,7542607.050,7542647.032,39.982
246,7542647.063,7542686.991,39.927
247,7542686.991,7542727.088,40.097
248,7542727.088,7542767.126,40.037
249,7542767.126,7542806.959,39.833
250,7542806.959,7542846.943,39.984
251,7542846.944,7542887.063,40.119
252,7542887.063,7542927.028,39.965
253,7542927.028,7542967.118,40.090
254,7542967.118,7543007.140,40.022
255,7543007.140,7543046.993,39.853
256,7543046.994,7543087.119,40.125
257,7543087.119,7543127.043,39.924
258,7543127.043,7543167.045,40.002
259,7543167.045,7543207.211,40.166
260,7543207.212,7543247.121,39.910
261,7543247.122,7543287.048,39.926
262,7543287.048,7543327.167,40.119
263,7543327.168,7543367.152,39.985
264,7543367.153,7543407.189,40.037
265,7543407.190,7543447.056,39.867
266,7543447.057,7543487.060,40.003
267,7543487.060,7543527.154,40.093
268,7543527.154,7543567.077,39.923
269,7543567.077,7543607.185,40.108
270,7543607.185,7543647.224,40.039
271,7543647.225,7543687.179,39.954
272,7543687.179,7543727.118,39.939
273,7543727.119,7543767.223,40.105
274,7543767.224,7543807.093,39.869
275,7543807.093,7543847.215,40.122
276,7543847.216,7543887.150,39.934
277,7543887.151,7543927.131,39.980
278,7543927.131,7543967.740,40.609
279,7543967.741,7544007.450,39.709
280,7544007.450,7544047.256,39.806
281,7544047.257,7544087.155,39.899
282,7544087.156,7544128.681,41.525
283,7544128.682,7544167.180,38.498
284,7544167.180,7544207.159,39.979
285,7544207.159,7544247.480,40.320
286,7544247.480,7544287.173,39.693
287,7544287.173,7544328.811,41.638
288,7544328.812,7544367.225,38.414
289,7544367.226,7544407.263,40.036
290,7544407.263,7544447.267,40.004
291,7544447.268,7544487.346,40.079
292,7544487.347,7544527.271,39.924
293,7544527.272,7544567.279,40.007
294,7544567.279,7544607.255,39.977
295,7544607.256,7544647.284,40.028
296,7544647.285,7544687.228,39.944
297,7544687.229,7544727.349,40.120
298,7544727.349,7544767.291,39.941
299,7544767.292,7544807.450,40.159
300,7544807.451,7544847.292,39.842
301,7544847.293,7544887.259,39.967
302,7544887.259,7544927.403,40.144
303,7544927.403,7544967.475,40.072
304,7544967.475,7545007.438,39.962
305,7545007.438,7545047.388,39.949
306,7545047.388,7545087.281,39.893
307,7545087.281,7545127.458,40.177
308,7545127.459,7545167.425,39.966
309,7545167.425,7545207.419,39.994
310,7545207.420,7545247.370,39.950
311,7545247.371,7545287.405,40.034
312,7545287.405,7545327.391,39.986
313,7545327.392,7545367.379,39.987
314,7545367.379,7545407.430,40.051
315,7545407.431,7545447.414,39.984
316,7545447.415,7545487.424,40.009
317,7545487.425,7545527.664,40.240
