index,start_ms,end_ms,duration_ms
176,7539845.722,7539885.743,40.022
177,7539885.744,7539925.758,40.013
178,7539925.759,7539965.743,39.984
179,7539965.744,7540005.731,39.987
180,7540005.732,7540045.776,40.045
181,7540045.777,7540085.822,40.045
182,7540085.823,7540125.740,39.917
183,7540125.741,7540165.819,40.078
184,7540165.820,7540205.913,40.094
185,7540205.914,7540245.867,39.953
186,7540245.868,7540285.810,39.942
187,7540285.811,7540325.785,39.974
188,7540325.786,7540365.828,40.042
189,7540365.829,7540405.835,40.007
190,7540405.837,7540445.807,39.971
191,7540445.808,7540485.864,40.056
192,7540485.865,7540525.857,39.992
193,7540525.858,7540565.871,40.014
194,7540565.872,7540605.933,40.061
195,7540605.933,7540645.940,40.007
196,7540645.941,7540685.864,39.923
197,7540685.865,7540725.944,40.079
198,7540725.945,7540765.874,39.929
199,7540765.875,7540805.866,39.991
200,7540805.867,7540846.492,40.625
201,7540846.493,7540886.546,40.054
202,7540886.547,7540925.873,39.326
203,7540925.874,7540966.857,40.983
204,7540966.858,7541005.939,39.081
205,7541005.939,7541045.927,39.988
206,7541045.927,7541085.955,40.027
207,7541085.955,7541126.053,40.098
208,7541126.054,7541166.708,40.654
209,7541166.708,7541205.936,39.227
210,7541205.936,7541246.032,40.095
211,7541246.033,7541285.946,39.914
212,7541285.947,7541325.995,40.048
213,7541325.996,7541365.986,39.990
214,7541365.987,7541405.933,39.946
215,7541405.934,7541445.997,40.063
216,7541445.998,7541486.069,40.071
217,7541486.070,7541526.054,39.984
218,7541526.055,7541565.994,39.939
219,7541565.995,7541606.096,40.102
220,7541606.097,7541646.131,40.033
221,7541646.132,7541686.208,40.076
222,7541686.209,7541725.991,39.782
223,7541725.992,7541766.190,40.198
224,7541766.191,7541806.157,39.965
225,7541806.157,7541846.096,39.939
226,7541846.097,7541886.154,40.056
227,7541886.155,7541926.160,40.005
228,7541926.161,7541966.177,40.016
229,7541966.177,7542006.104,39.927
230,7542006.138,7542046.206,40.068
231,7542046.208,7542086.143,39.935
232,7542086.144,7542126.126,39.983
233,7542126.127,7542166.145,40.017
234,7542166.146,7542206.217,40.071
235,7542206.218,7542246.243,40.025
236,7542246.244,7542287.714,41.470
237,7542287.715,7542326.253,38.537
238,7542326.253,7542366.137,39.884
239,7542366.138,7542406.685,40.547
240,7542406.686,7542446.633,39.948
241,7542446.634,7542486.201,39.567
242,7542486.203,7542526.138,39.935
243,7542526.139,7542566.236,40.097
244,7542566.237,7542606.216,39.979
245,7542606.217,7542646.206,39.990
246,7542646.207,7542686.193,39.986
247,7542686.194,7542726.263,40.069
248,7542726.264,7542766.296,40.032
249,7542766.297,7542806.151,39.854
250,7542806.151,7542846.155,40.003
251,7542846.155,7542886.241,40.085
252,7542886.242,7542926.204,39.963
253,7542926.205,7542966.286,40.080
254,7542966.287,7543006.309,40.022
255,7543006.309,7543046.194,39.885
256,7543046.195,7543086.290,40.095
257,7543086.292,7543126.218,39.927
258,7543126.219,7543166.220,40.001
259,7543166.221,7543206.373,40.152
260,7543206.374,7543246.293,39.920
261,7543246.294,7543286.225,39.930
262,7543286.226,7543326.328,40.102
263,7543326.329,7543366.320,39.991
264,7543366.321,7543406.351,40.030
265,7543406.352,7543446.234,39.882
266,7543446.235,7543486.234,39.999
267,7543486.235,7543526.325,40.090
268,7543526.326,7543566.247,39.920
269,7543566.248,7543606.352,40.105
270,7543606.353,7543646.398,40.044
271,7543646.399,7543686.355,39.956
272,7543686.356,7543726.292,39.936
273,7543726.293,7543766.393,40.101
274,7543766.394,7543806.262,39.868
275,7543806.263,7543846.387,40.125
276,7543846.388,7543886.325,39.936
277,7543886.326,7543926.310,39.985
278,7543926.311,7543966.916,40.604
279,7543966.917,7544006.624,39.708
280,7544006.625,7544046.426,39.800
281,7544046.426,7544086.330,39.903
282,7544086.331,7544127.847,41.516
283,7544127.848,7544166.349,38.502
284,7544166.350,7544206.333,39.983
285,7544206.334,7544246.661,40.327
286,7544246.662,7544286.345,39.683
287,7544286.346,7544328.029,41.684
288,7544328.030,7544366.394,38.364
289,7544366.395,7544406.432,40.037
290,7544406.433,7544446.433,39.999
291,7544446.434,7544486.521,40.087
292,7544486.522,7544526.437,39.915
293,7544526.438,7544566.446,40.008
294,7544566.447,7544606.420,39.973
295,7544606.421,7544646.454,40.033
