Platform,PWM Type,Decoder Type,Filter Type,PWM Location,Encoder Location,Image Processing Location,Control Loop Location,Development Score
DE10-Avalon,Center PWM,Edge Decoder,YUV,FPGA,FPGA,FPGA,CPU,86.0
DE10-Avalon,Center PWM,Edge Decoder,YUV,FPGA,FPGA,FPGA,FPGA,81.0
DE10-Avalon,Center PWM,LUT Decoder,HSV,CPU,CPU,CPU,CPU,91.0
DE10-Avalon,Center PWM,LUT Decoder,HSV,CPU,CPU,CPU,FPGA,86.0
DE10-Avalon,Center PWM,LUT Decoder,HSV,CPU,CPU,FPGA,CPU,85.0
DE10-Avalon,Center PWM,LUT Decoder,HSV,CPU,CPU,FPGA,FPGA,80.0
DE10-Avalon,Center PWM,LUT Decoder,HSV,CPU,FPGA,CPU,CPU,91.0
DE10-Avalon,Center PWM,LUT Decoder,HSV,CPU,FPGA,CPU,FPGA,86.0
DE10-Avalon,Center PWM,LUT Decoder,HSV,CPU,FPGA,FPGA,CPU,85.0
DE10-Avalon,Center PWM,LUT Decoder,HSV,CPU,FPGA,FPGA,FPGA,80.0
DE10-Avalon,Center PWM,LUT Decoder,HSV,FPGA,CPU,CPU,CPU,91.0
DE10-Avalon,Center PWM,LUT Decoder,HSV,FPGA,CPU,CPU,FPGA,86.0
DE10-Avalon,Center PWM,LUT Decoder,HSV,FPGA,CPU,FPGA,CPU,85.0
DE10-Avalon,Center PWM,LUT Decoder,HSV,FPGA,CPU,FPGA,FPGA,80.0
DE10-Avalon,Center PWM,LUT Decoder,HSV,FPGA,FPGA,CPU,CPU,91.0
DE10-Avalon,Center PWM,LUT Decoder,HSV,FPGA,FPGA,CPU,FPGA,86.0
DE10-Avalon,Center PWM,LUT Decoder,HSV,FPGA,FPGA,FPGA,CPU,85.0
DE10-Avalon,Center PWM,LUT Decoder,HSV,FPGA,FPGA,FPGA,FPGA,80.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,CPU,CPU,CPU,CPU,89.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,CPU,CPU,CPU,FPGA,84.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,CPU,CPU,FPGA,CPU,83.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,CPU,CPU,FPGA,FPGA,78.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,CPU,FPGA,CPU,CPU,89.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,CPU,FPGA,CPU,FPGA,84.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,CPU,FPGA,FPGA,CPU,83.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,CPU,FPGA,FPGA,FPGA,78.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,FPGA,CPU,CPU,CPU,89.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,FPGA,CPU,CPU,FPGA,84.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,FPGA,CPU,FPGA,CPU,83.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,FPGA,CPU,FPGA,FPGA,78.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,FPGA,FPGA,CPU,CPU,89.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,FPGA,FPGA,CPU,FPGA,84.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,FPGA,FPGA,FPGA,CPU,83.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,FPGA,FPGA,FPGA,FPGA,78.0
RPi-SPI,Edge PWM,Edge Decoder,HSV,CPU,CPU,CPU,CPU,115.5
RPi-SPI,Edge PWM,Edge Decoder,HSV,CPU,CPU,CPU,FPGA,110.5
RPi-SPI,Edge PWM,Edge Decoder,HSV,CPU,CPU,FPGA,CPU,109.5
RPi-SPI,Edge PWM,Edge Decoder,HSV,CPU,CPU,FPGA,FPGA,104.5
RPi-SPI,Edge PWM,Edge Decoder,HSV,CPU,FPGA,CPU,CPU,115.5
RPi-SPI,Edge PWM,Edge Decoder,HSV,CPU,FPGA,CPU,FPGA,110.5
RPi-SPI,Edge PWM,Edge Decoder,HSV,CPU,FPGA,FPGA,CPU,109.5
RPi-SPI,Edge PWM,Edge Decoder,HSV,CPU,FPGA,FPGA,FPGA,104.5
RPi-SPI,Edge PWM,Edge Decoder,HSV,FPGA,CPU,CPU,CPU,115.5
RPi-SPI,Edge PWM,Edge Decoder,HSV,FPGA,CPU,CPU,FPGA,110.5
RPi-SPI,Edge PWM,Edge Decoder,HSV,FPGA,CPU,FPGA,CPU,109.5
RPi-SPI,Edge PWM,Edge Decoder,HSV,FPGA,CPU,FPGA,FPGA,104.5
RPi-SPI,Edge PWM,Edge Decoder,HSV,FPGA,FPGA,CPU,CPU,115.5
RPi-SPI,Edge PWM,Edge Decoder,HSV,FPGA,FPGA,CPU,FPGA,110.5
RPi-SPI,Edge PWM,Edge Decoder,HSV,FPGA,FPGA,FPGA,CPU,109.5
RPi-SPI,Edge PWM,Edge Decoder,HSV,FPGA,FPGA,FPGA,FPGA,104.5
RPi-SPI,Edge PWM,Edge Decoder,YUV,CPU,CPU,CPU,CPU,113.5
RPi-SPI,Edge PWM,Edge Decoder,YUV,CPU,CPU,CPU,FPGA,108.5
RPi-SPI,Edge PWM,Edge Decoder,YUV,CPU,CPU,FPGA,CPU,107.5
RPi-SPI,Edge PWM,Edge Decoder,YUV,CPU,CPU,FPGA,FPGA,102.5
RPi-SPI,Edge PWM,Edge Decoder,YUV,CPU,FPGA,CPU,CPU,113.5
RPi-SPI,Edge PWM,Edge Decoder,YUV,CPU,FPGA,CPU,FPGA,108.5
RPi-SPI,Edge PWM,Edge Decoder,YUV,CPU,FPGA,FPGA,CPU,107.5
RPi-SPI,Edge PWM,Edge Decoder,YUV,CPU,FPGA,FPGA,FPGA,102.5
RPi-SPI,Edge PWM,Edge Decoder,YUV,FPGA,CPU,CPU,CPU,113.5
RPi-SPI,Edge PWM,Edge Decoder,YUV,FPGA,CPU,CPU,FPGA,108.5
RPi-SPI,Edge PWM,Edge Decoder,YUV,FPGA,CPU,FPGA,CPU,107.5
RPi-SPI,Edge PWM,Edge Decoder,YUV,FPGA,CPU,FPGA,FPGA,102.5
RPi-SPI,Edge PWM,Edge Decoder,YUV,FPGA,FPGA,CPU,CPU,113.5
RPi-SPI,Edge PWM,Edge Decoder,YUV,FPGA,FPGA,CPU,FPGA,108.5
RPi-SPI,Edge PWM,Edge Decoder,YUV,FPGA,FPGA,FPGA,CPU,107.5
RPi-SPI,Edge PWM,Edge Decoder,YUV,FPGA,FPGA,FPGA,FPGA,102.5
RPi-SPI,Edge PWM,LUT Decoder,HSV,CPU,CPU,CPU,CPU,112.5
RPi-SPI,Edge PWM,LUT Decoder,HSV,CPU,CPU,CPU,FPGA,107.5
RPi-SPI,Edge PWM,LUT Decoder,HSV,CPU,CPU,FPGA,CPU,106.5
RPi-SPI,Edge PWM,LUT Decoder,HSV,CPU,CPU,FPGA,FPGA,101.5
RPi-SPI,Edge PWM,LUT Decoder,HSV,CPU,FPGA,CPU,CPU,112.5
RPi-SPI,Edge PWM,LUT Decoder,HSV,CPU,FPGA,CPU,FPGA,107.5
RPi-SPI,Edge PWM,LUT Decoder,HSV,CPU,FPGA,FPGA,CPU,106.5
RPi-SPI,Edge PWM,LUT Decoder,HSV,CPU,FPGA,FPGA,FPGA,101.5
RPi-SPI,Edge PWM,LUT Decoder,HSV,FPGA,CPU,CPU,CPU,112.5
RPi-SPI,Edge PWM,LUT Decoder,HSV,FPGA,CPU,CPU,FPGA,107.5
RPi-SPI,Edge PWM,LUT Decoder,HSV,FPGA,CPU,FPGA,CPU,106.5
RPi-SPI,Edge PWM,LUT Decoder,HSV,FPGA,CPU,FPGA,FPGA,101.5
RPi-SPI,Edge PWM,LUT Decoder,HSV,FPGA,FPGA,CPU,CPU,112.5
RPi-SPI,Edge PWM,LUT Decoder,HSV,FPGA,FPGA,CPU,FPGA,107.5
RPi-SPI,Edge PWM,LUT Decoder,HSV,FPGA,FPGA,FPGA,CPU,106.5
RPi-SPI,Edge PWM,LUT Decoder,HSV,FPGA,FPGA,FPGA,FPGA,101.5
RPi-SPI,Edge PWM,LUT Decoder,YUV,CPU,CPU,CPU,CPU,110.5
RPi-SPI,Edge PWM,LUT Decoder,YUV,CPU,CPU,CPU,FPGA,105.5
RPi-SPI,Edge PWM,LUT Decoder,YUV,CPU,CPU,FPGA,CPU,104.5
RPi-SPI,Edge PWM,LUT Decoder,YUV,CPU,CPU,FPGA,FPGA,99.5
RPi-SPI,Edge PWM,LUT Decoder,YUV,CPU,FPGA,CPU,CPU,110.5
RPi-SPI,Edge PWM,LUT Decoder,YUV,CPU,FPGA,CPU,FPGA,105.5
RPi-SPI,Edge PWM,LUT Decoder,YUV,CPU,FPGA,FPGA,CPU,104.5
RPi-SPI,Edge PWM,LUT Decoder,YUV,CPU,FPGA,FPGA,FPGA,99.5
RPi-SPI,Edge PWM,LUT Decoder,YUV,FPGA,CPU,CPU,CPU,110.5
RPi-SPI,Edge PWM,LUT Decoder,YUV,FPGA,CPU,CPU,FPGA,105.5
RPi-SPI,Edge PWM,LUT Decoder,YUV,FPGA,CPU,FPGA,CPU,104.5
RPi-SPI,Edge PWM,LUT Decoder,YUV,FPGA,CPU,FPGA,FPGA,99.5
RPi-SPI,Edge PWM,LUT Decoder,YUV,FPGA,FPGA,CPU,CPU,110.5
RPi-SPI,Edge PWM,LUT Decoder,YUV,FPGA,FPGA,CPU,FPGA,105.5
RPi-SPI,Edge PWM,LUT Decoder,YUV,FPGA,FPGA,FPGA,CPU,104.5
RPi-SPI,Edge PWM,LUT Decoder,YUV,FPGA,FPGA,FPGA,FPGA,99.5
RPi-SPI,Center PWM,Edge Decoder,HSV,CPU,CPU,CPU,CPU,112.0
RPi-SPI,Center PWM,Edge Decoder,HSV,CPU,CPU,CPU,FPGA,107.0
RPi-SPI,Center PWM,Edge Decoder,HSV,CPU,CPU,FPGA,CPU,106.0
RPi-SPI,Center PWM,Edge Decoder,HSV,CPU,CPU,FPGA,FPGA,101.0
RPi-SPI,Center PWM,Edge Decoder,HSV,CPU,FPGA,CPU,CPU,112.0
RPi-SPI,Center PWM,Edge Decoder,HSV,CPU,FPGA,CPU,FPGA,107.0
RPi-SPI,Center PWM,Edge Decoder,HSV,CPU,FPGA,FPGA,CPU,106.0
RPi-SPI,Center PWM,Edge Decoder,HSV,CPU,FPGA,FPGA,FPGA,101.0
RPi-SPI,Center PWM,Edge Decoder,HSV,FPGA,CPU,CPU,CPU,112.0
RPi-SPI,Center PWM,Edge Decoder,HSV,FPGA,CPU,CPU,FPGA,107.0
RPi-SPI,Center PWM,Edge Decoder,HSV,FPGA,CPU,FPGA,CPU,106.0
RPi-SPI,Center PWM,Edge Decoder,HSV,FPGA,CPU,FPGA,FPGA,101.0
RPi-SPI,Center PWM,Edge Decoder,HSV,FPGA,FPGA,CPU,CPU,112.0
RPi-SPI,Center PWM,Edge Decoder,HSV,FPGA,FPGA,CPU,FPGA,107.0
RPi-SPI,Center PWM,Edge Decoder,HSV,FPGA,FPGA,FPGA,CPU,106.0
RPi-SPI,Center PWM,Edge Decoder,HSV,FPGA,FPGA,FPGA,FPGA,101.0
RPi-SPI,Center PWM,Edge Decoder,YUV,CPU,CPU,CPU,CPU,110.0
RPi-SPI,Center PWM,Edge Decoder,YUV,CPU,CPU,CPU,FPGA,105.0
RPi-SPI,Center PWM,Edge Decoder,YUV,CPU,CPU,FPGA,CPU,104.0
RPi-SPI,Center PWM,Edge Decoder,YUV,CPU,CPU,FPGA,FPGA,99.0
RPi-SPI,Center PWM,Edge Decoder,YUV,CPU,FPGA,CPU,CPU,110.0
RPi-SPI,Center PWM,Edge Decoder,YUV,CPU,FPGA,CPU,FPGA,105.0
RPi-SPI,Center PWM,Edge Decoder,YUV,CPU,FPGA,FPGA,CPU,104.0
RPi-SPI,Center PWM,Edge Decoder,YUV,CPU,FPGA,FPGA,FPGA,99.0
RPi-SPI,Center PWM,Edge Decoder,YUV,FPGA,CPU,CPU,CPU,110.0
RPi-SPI,Center PWM,Edge Decoder,YUV,FPGA,CPU,CPU,FPGA,105.0
RPi-SPI,Center PWM,Edge Decoder,YUV,FPGA,CPU,FPGA,CPU,104.0
RPi-SPI,Center PWM,Edge Decoder,YUV,FPGA,CPU,FPGA,FPGA,99.0
RPi-SPI,Center PWM,Edge Decoder,YUV,FPGA,FPGA,CPU,CPU,110.0
RPi-SPI,Center PWM,Edge Decoder,YUV,FPGA,FPGA,CPU,FPGA,105.0
RPi-SPI,Center PWM,Edge Decoder,YUV,FPGA,FPGA,FPGA,CPU,104.0
RPi-SPI,Center PWM,Edge Decoder,YUV,FPGA,FPGA,FPGA,FPGA,99.0
RPi-SPI,Center PWM,LUT Decoder,HSV,CPU,CPU,CPU,CPU,109.0
RPi-SPI,Center PWM,LUT Decoder,HSV,CPU,CPU,CPU,FPGA,104.0
RPi-SPI,Center PWM,LUT Decoder,HSV,CPU,CPU,FPGA,CPU,103.0
RPi-SPI,Center PWM,LUT Decoder,HSV,CPU,CPU,FPGA,FPGA,98.0
RPi-SPI,Center PWM,LUT Decoder,HSV,CPU,FPGA,CPU,CPU,109.0
RPi-SPI,Center PWM,LUT Decoder,HSV,CPU,FPGA,CPU,FPGA,104.0
RPi-SPI,Center PWM,LUT Decoder,HSV,CPU,FPGA,FPGA,CPU,103.0
RPi-SPI,Center PWM,LUT Decoder,HSV,CPU,FPGA,FPGA,FPGA,98.0
RPi-SPI,Center PWM,LUT Decoder,HSV,FPGA,CPU,CPU,CPU,109.0
RPi-SPI,Center PWM,LUT Decoder,HSV,FPGA,CPU,CPU,FPGA,104.0
RPi-SPI,Center PWM,LUT Decoder,HSV,FPGA,CPU,FPGA,CPU,103.0
RPi-SPI,Center PWM,LUT Decoder,HSV,FPGA,CPU,FPGA,FPGA,98.0
RPi-SPI,Center PWM,LUT Decoder,HSV,FPGA,FPGA,CPU,CPU,109.0
RPi-SPI,Center PWM,LUT Decoder,HSV,FPGA,FPGA,CPU,FPGA,104.0
RPi-SPI,Center PWM,LUT Decoder,HSV,FPGA,FPGA,FPGA,CPU,103.0
RPi-SPI,Center PWM,LUT Decoder,HSV,FPGA,FPGA,FPGA,FPGA,98.0
RPi-SPI,Center PWM,LUT Decoder,YUV,CPU,CPU,CPU,CPU,107.0
RPi-SPI,Center PWM,LUT Decoder,YUV,CPU,CPU,CPU,FPGA,102.0
RPi-SPI,Center PWM,LUT Decoder,YUV,CPU,CPU,FPGA,CPU,101.0
RPi-SPI,Center PWM,LUT Decoder,YUV,CPU,CPU,FPGA,FPGA,96.0
RPi-SPI,Center PWM,LUT Decoder,YUV,CPU,FPGA,CPU,CPU,107.0
RPi-SPI,Center PWM,LUT Decoder,YUV,CPU,FPGA,CPU,FPGA,102.0
RPi-SPI,Center PWM,LUT Decoder,YUV,CPU,FPGA,FPGA,CPU,101.0
RPi-SPI,Center PWM,LUT Decoder,YUV,CPU,FPGA,FPGA,FPGA,96.0
RPi-SPI,Center PWM,LUT Decoder,YUV,FPGA,CPU,CPU,CPU,107.0
RPi-SPI,Center PWM,LUT Decoder,YUV,FPGA,CPU,CPU,FPGA,102.0
RPi-SPI,Center PWM,LUT Decoder,YUV,FPGA,CPU,FPGA,CPU,101.0
RPi-SPI,Center PWM,LUT Decoder,YUV,FPGA,CPU,FPGA,FPGA,96.0
RPi-SPI,Center PWM,LUT Decoder,YUV,FPGA,FPGA,CPU,CPU,107.0
RPi-SPI,Center PWM,LUT Decoder,YUV,FPGA,FPGA,CPU,FPGA,102.0
RPi-SPI,Center PWM,LUT Decoder,YUV,FPGA,FPGA,FPGA,CPU,101.0
RPi-SPI,Center PWM,LUT Decoder,YUV,FPGA,FPGA,FPGA,FPGA,96.0
